caloriesConsumed,diffFit0,diffFit1,lmFit0,lmFit1,treeFit0,treeFit1,bartFit0,bartFit1,trueFit0,trueFit1
0,4999.712976851327,4569.61340195905,4983.145927698484,4552.190518175697,4999.712976851327,4694.1697755873565,4976.701293045479,4704.467882243413,5000,4750
1.001001001001001,4999.712976851327,4569.61340195905,4983.182742456083,4552.227332933297,4999.712976851327,4694.1697755873565,4976.701293045479,4704.467882243413,5000,4749.000001002003
2.002002002002002,4999.712976851327,4569.61340195905,4983.219557213683,4552.264147690897,4999.712976851327,4694.1697755873565,4976.701293045479,4704.467882243413,5000,4748.002006010014
3.0030030030030033,4999.712976851327,4569.61340195905,4983.2563719712825,4552.300962448496,4999.712976851327,4694.1697755873565,4976.701293045479,4704.467882243413,5000,4747.006015024033
4.004004004004004,4999.712976851327,4569.61340195905,4983.293186728883,4552.337777206096,4999.712976851327,4694.1697755873565,4976.701293045479,4704.467882243413,5000,4746.01202804406
5.005005005005005,4999.712976851327,4569.61340195905,4983.330001486482,4552.374591963695,4999.712976851327,4694.1697755873565,4976.701293045479,4704.467882243413,5000,4745.020045070095
6.0060060060060065,4999.712976851327,4569.61340195905,4983.366816244081,4552.411406721294,4999.712976851327,4694.1697755873565,4976.701293045479,4704.467882243413,5000,4744.030066102138
7.007007007007008,4999.712976851327,4569.61340195905,4983.403631001681,4552.448221478894,4999.712976851327,4694.1697755873565,4976.701293045479,4704.467882243413,5000,4743.042091140189
8.008008008008009,4999.712976851327,4569.61340195905,4983.44044575928,4552.485036236493,4999.712976851327,4694.1697755873565,4976.701293045479,4704.467882243413,5000,4742.056120184248
9.00900900900901,4999.712976851327,4569.61340195905,4983.47726051688,4552.521850994093,4999.712976851327,4694.1697755873565,4976.701293045479,4704.467882243413,5000,4741.072153234316
10.01001001001001,4999.712976851327,4569.61340195905,4983.514075274479,4552.558665751692,4999.712976851327,4694.1697755873565,4976.701293045479,4704.467882243413,5000,4740.090190290391
11.011011011011012,4999.712976851327,4569.61340195905,4983.550890032078,4552.5954805092915,4999.712976851327,4694.1697755873565,4984.283323308577,4709.879493730421,5000,4739.110231352473
12.012012012012013,4999.712976851327,4569.61340195905,4983.587704789678,4552.632295266892,4999.712976851327,4694.1697755873565,4984.283323308577,4709.879493730421,5000,4738.132276420565
13.013013013013014,4999.712976851327,4569.61340195905,4983.6245195472775,4552.669110024491,4999.712976851327,4694.1697755873565,4984.283323308577,4709.879493730421,5000,4737.156325494664
14.014014014014016,4999.712976851327,4569.61340195905,4983.661334304877,4552.70592478209,4999.712976851327,4694.1697755873565,4984.283323308577,4709.879493730421,5000,4736.182378574771
15.015015015015017,4999.712976851327,4569.61340195905,4983.698149062477,4552.74273953969,4999.712976851327,4694.1697755873565,4984.283323308577,4709.879493730421,5000,4735.210435660886
16.016016016016017,4999.712976851327,4569.61340195905,4983.734963820076,4552.779554297289,4999.712976851327,4694.1697755873565,4984.283323308577,4709.879493730421,5000,4734.240496753009
