y,z,p.score,sd10a_base,sd10b_base,sd10c_base,sd10d_base,sd10e_base,sd10f_base,sd10g_base,sd10h_base,girl,sd06a_base,sd06b_base,sd06c_base,sd06d_base,sd06e_base,sd06f_base,sd06g_base,z_effort_base,z_belonging_base,z_selfesteem_base,z_perfgoal_base,z_perseverance_base,teach_growthm_base,teach_fail_enhance_base,teach_self_efficacy_base,district,schoolid
3.362146426822539,1,0.24791172430964248,1,0,1,1,1,1,0,0,1,0.33519662224301505,0.9032283663420444,0.5317041785611164,0.16818661457197034,0.2343667881905843,0.06606405285109804,-0.6168317218359769,-0.13883564660668957,-0.7886507293883342,-2.3788750901814977,-0.3208705036836965,-1.8765818623210064,-0.3658079632031681,-0.18847568206219695,0.8054895363286579,1,100010
2.948701833562661,1,0.24791172430964248,1,0,0,1,1,0,0,0,1,0.33519662224301505,-0.6292462521030064,0.01112923660793715,0.16818661457197034,0.9650483132585352,0.06606405285109804,-0.6168317218359769,-0.6128081609967573,1.3419462996086322,1.4683052604792344,1.1851272467841956,0.5730504422812543,-0.3658079632031681,-0.18847568206219695,0.8054895363286579,1,100010
2.467590095667756,1,0.24791172430964248,1,0,0,0,1,1,1,1,0,-0.1813675092531606,-0.6292462521030064,-0.509445705345242,-0.4509334627934041,0.9650483132585352,-0.0947402057557084,-0.6168317218359769,-0.13883564660668957,-4.339644647327956,-0.07056689026566365,-1.8268681344776911,-0.24349365427281652,-0.3658079632031681,-0.18847568206219695,0.8054895363286579,1,100010
2.605545408196601,1,0.24791172430964248,1,0,0,0,1,1,0,1,0,-0.1813675092531606,-0.6292462521030064,-0.509445705345242,-0.4509334627934041,0.2343667881905843,-0.0947402057557084,-0.6168317218359769,-0.6128081609967573,-2.9192472739330197,-2.3788750901814977,-1.0738694387545915,-1.0600377209467913,-0.3658079632031681,-0.18847568206219695,0.8054895363286579,1,100010
4.084577430584361,1,0.24791172430964248,1,0,1,1,1,0,1,0,1,-0.00917946542110204,-0.2886963368929952,0.01112923660793715,0.16818661457197034,0.9650483132585352,0.22686831145790448,-0.26885354763803476,0.33513656869605796,-0.43355114381345966,1.4683052604792344,0.8086277194117993,0.9813225129683616,-0.3658079632031681,-0.18847568206219695,0.8054895363286579,1,100010
4.128009142518736,1,0.24791172430964248,1,0,1,1,1,1,0,0,0,-0.1813675092531606,0.05185357831701612,-0.3359207246941823,0.16818661457197034,0.2343667881905843,0.22686831145790448,-0.4428426347370058,-0.13883564660668957,-0.7886507293883342,1.0835872733244998,-0.6973697917082975,1.389594583655469,-0.3658079632031681,-0.18847568206219695,0.8054895363286579,1,100010
2.463525833811506,1,0.24791172430964248,1,0,0,1,1,0,0,0,1,0.5073846660750736,-0.6292462521030064,0.5317041785611164,0.3229666339133139,0.5266393982177646,0.22686831145790448,-0.26885354763803476,-0.6128081609967573,-0.7886507293883342,0.6988692262805919,0.8086277194117993,0.1647784014742429,-0.3658079632031681,-0.18847568206219695,0.8054895363286579,1,100010
5.165073821541619,1,0.24791172430964248,1,0,0,1,1,1,0,0,1,-0.00917946542110204,0.5626784511320331,0.01112923660793715,0.01340659523062672,0.2343667881905843,0.7092810872783237,-0.26885354763803476,-1.0867803912538707,-1.1437497699543928,-0.45528494479571807,-0.3208705036836965,0.9813225129683616,-0.3658079632031681,-0.18847568206219695,0.8054895363286579,1,100010
0.37064575729739835,1,0.24791172430964248,1,0,1,1,1,0,0,0,0,-0.00917946542110204,-0.6292462521030064,-0.6829706859963017,-0.4509334627934041,0.5266393982177646,-0.0947402057557084,-0.6168317218359769,-1.56075256169352,-1.4988494160858024,-1.224721008938947,-1.0738694387545915,-1.8765818623210064,-0.3658079632031681,-0.18847568206219695,0.8054895363286579,1,100010
2.385871245394448,1,0.24791172430964248,1,0,0,0,1,1,0,0,1,-0.00917946542110204,-0.6292462521030064,0.01112923660793715,0.16818661457197034,0.9650483132585352,0.06606405285109804,-0.4428426347370058,-0.6128081609967573,-1.853948941104142,-0.07056689026566365,0.8086277194117993,-1.0600377209467913,-0.3658079632031681,-0.18847568206219695,0.8054895363286579,1,100010
