xName,yName,y,treatment,factual,pair_id
0.011130165401846165,2.310268501669777,y0,0,1,1
-0.05752444518730046,2.3418787166413932,y0,1,0,2
0.14617473697289823,2.657251766197172,y0,0,1,3
-0.04184063011780381,2.040927376195657,y0,1,0,4
-0.04373046467080713,3.3337409032885503,y0,0,1,5
-0.1123465527780354,3.842177196270929,y0,1,0,6
-0.0022178692743182182,3.045415353300409,y0,0,1,7
0.0900312140583992,2.389427443661537,y0,1,0,8
0.015962038654834032,3.368992393292543,y0,0,1,9
0.14289047969505192,3.104854023058162,y0,1,0,10
0.8573509868234396,2.439835572779735,y1,0,0,1
1.0996424834243954,1.9238468774905908,y1,1,1,2
1.1247910098172724,1.7827194824462376,y1,0,0,3
1.1761009702458978,1.721352381012511,y1,1,1,4
0.9298175853677094,2.0277882807159746,y1,0,0,5
1.0809815884567797,1.8141413874585643,y1,1,1,6
0.829627133347094,1.4308097337052053,y1,0,0,7
0.8301198105327785,2.5568345258754017,y1,1,1,8
0.8549863707274199,1.161254843346924,y1,0,0,9
1.08644091617316,2.5064155436382345,y1,1,1,10
