z,caloriesConsumed,runningTime
1,27.824683627000148,172.53045816634634
1,36.47879347717394,172.89826358225827
0,47.70276264967059,193.5040498527148
0,25.956994606029717,174.38529105989343
1,34.357985947592084,174.5249621858877
1,36.059362275048755,174.99809030577566
1,40.66363783417387,175.56699433345602
0,33.08241580662528,179.7639972709776
0,50.87579149322342,198.95353812133737
1,33.88970390304268,171.6280172819403
1,38.34120600634044,175.174787842294
1,42.85402221970929,175.48622941108866
0,31.858437155969497,173.601572696417
0,26.68264818440869,179.88332510337514
0,49.2578316824686,198.51116692206188
1,18,178.68206633364525
1,42.02883664737011,178.35704110785682
0,35.28645374412181,180.06340053573274
1,43.10262953701666,176.7573532954919
1,38.458121236316934,173.7878358908988
1,51.72655364199316,183.16053214280527
0,25.40059344284903,177.23459738138556
0,47.717105602320565,195.788081029159
1,50.63721313778603,183.7047229954445
1,35.03950221462514,173.7746095578618
0,18,180.22548646556243
0,38.81789842090893,184.09159769642204
1,30.227534650948773,176.67284610343296
1,41.33762616239719,178.53806305074272
0,37.31709368141878,180.61323787971614
1,40.911508830097,177.2010568986829
1,37.55168320878119,173.68489886972182
1,43.60931483049604,176.52561139264213
0,32.72673823609403,179.44376156486837
0,28.78659780816194,175.51906069813208
1,30.23471601046579,172.24079868249112
0,21.192161766831738,179.89034002941577
1,27.779324161890496,173.1327123345745
1,30.527504680796273,175.82408082927813
0,33.02789946133188,178.60995136934025
1,31.93131017254845,173.17680803230434
0,19.32717459866297,177.76276809332444
1,28.266359518915134,170.50798851769304
1,50.22837973878115,183.01177831720346
0,39.9799514409659,181.37412183801914
1,50.92736348464251,182.78124878536545
1,32.55613020126837,172.21818881071113
1,34.27324611839393,175.01388811168238
1,33.526708387589906,174.60066071674933
0,25.409857877540702,179.91267280506528
1,28.29370281918365,175.99243882000312
1,51.5304108458499,185.27297639829723
0,30.502023573260047,178.09371127705614
0,45.205724094807366,193.45367582151067
1,26.619418984040152,178.100454586514
1,19.272974068421398,179.64041863642186
0,32.41623124992022,175.72970247771283
1,42.48690021446907,177.86217527162304
1,44.113838421872664,178.72784717491044
1,48.37295013860796,180.9731557474425
1,20.694062345881164,179.06386628235933
0,51.249940150041994,200.51402290995009
0,29.374845336048914,178.77594932044337
0,36.265318100480975,176.86622806345085
0,39.04987837984576,179.82410667719498
1,28.440039155070416,170.77763406203366
0,19.00922404028701,183.47745338553867
1,31.165659268386875,175.16676677738366
0,35.67343923457794,181.2951129300039
0,27.836107114693526,175.04743553707624
0,27.629794675938104,177.87595494412224
0,37.64359602772252,182.25928059007938
0,33.86671352851135,177.9355789304846
0,38.47878209202159,181.51420201682038
1,34.570218991862525,173.02750919523714
1,27.743116995252088,171.85792997882524
1,45.42809785937813,177.72312811616203
0,41.17431820431889,184.86825778332584
0,43.420204762461154,189.46144957494695
1,23.71969327469033,175.9344471641681
0,42.96787671822201,186.08864907643184
1,21.433880772967804,174.05694596031722
1,30.733022859622427,173.11778765506344
1,24.021844390855357,172.8758162275613
1,18,180.3643765606393
0,49.576980150028454,197.9067326488769
1,29.77285271344977,172.98253808230834
0,32.722550245159454,176.4781214609401
1,31.904403170840553,175.65232975025344
1,38.09355979716858,175.70979043445894
0,47.80312681231619,193.62173499926647
1,48.44923964613453,183.47702987086785
1,25.53114889418194,176.16351285456875
1,24.13234197149441,176.00524764718503
1,22.89863364223197,174.56113144920508
0,24.975160805046414,172.36443730985025
0,50.674856617164835,202.38921391156197
1,35.06116697706214,175.44408639046753
0,28.259078419282936,172.51619934604648
1,30.19071915878121,174.69515409538246
1,43.59567525130276,176.47577935695907
1,37.08478268073727,168.2648118598261
0,32.485824158624645,175.22830569950563
0,29.00295923613538,174.4624687585573
0,28.10241336251355,177.9787961178405
1,51.38432242438784,183.30230296153397
0,42.519360620907,186.7731761138624
0,51.0694969273228,204.8268155679814
1,31.629011420757177,175.11634802868613
1,32.19332461481713,172.84068055002956
1,26.780955215305944,173.52228468904747
0,32.995846986237666,174.8554921907935
0,38.77487572893555,183.0020779637454
0,45.87151856798492,192.79578086350654
0,39.513348821469116,183.03299768479667
1,38.64784072384977,171.63794204697285
1,44.84762930416733,180.00010119917448
1,44.17709478181696,175.28684015878142
0,35.852784327419336,178.10592454665695
1,28.733466743931018,173.5938193119819
1,44.92959861661899,179.32449954137158
0,36.110867352828116,180.96844274728335
0,48.68505270589259,197.03710065165075
1,31.55487220221606,174.2864914403528
0,26.646163352583528,178.1425736248434
0,39.30063619664423,183.2390657352621
0,29.64331210279817,174.32629098578877
1,40.110444891506475,176.47353188680276
0,21.208081324059467,179.0404151371151
1,21.06055935727275,176.43396511650812
0,40.51843338626395,183.54330863486584
1,37.64770541738773,173.21884621807163
1,41.96854167158444,173.83915048363716
0,18.870035342292518,180.7409838308542
1,44.700632828082895,177.7518396352702
1,44.60395759057551,177.45191059570777
1,43.25654660748349,175.79907460591815
0,41.29128204941773,183.28704015924458
0,51.880588110234186,203.3675727006406
1,23.369521225493692,173.67474372670742
0,30.335169214954803,175.19747132537037
1,38.27779186040244,173.55482486271495
0,28.544146916686095,172.64772150035256
1,35.68440352683606,173.91754078965977
1,40.96994534911793,175.83034589260393
0,29.770615509351327,177.499467203771
0,40.256847866415676,181.25663550575956
1,39.39927388007767,176.7089796850705
1,28.54616513253863,168.9994084796472
1,27.020962261790118,174.3534263335126
1,42.80712510741008,175.16882350115148
0,33.64461455439427,181.1382532358572
0,40.77753423549976,185.12470936144547
1,28.244651144699976,171.1319446283668
1,45.21834948000918,181.2254466418836
1,24.25511560655822,173.67507465272314
0,41.122725350885574,183.98020026515323
1,38.71362055984299,178.44441844787522
1,37.14394622432423,175.0668695168288
1,40.340181497081936,175.42384071524302
1,38.18773827091023,174.01196381015737
0,29.895431752559457,179.93279055340642
1,32.85829676781191,172.36601709914757
0,37.879036519085695,179.12603507900545
1,24.497071248474327,176.00421139537002
0,27.92824312265035,174.41180183152866
0,51.61675835667717,204.19144273327927
1,18.206194942392177,177.44133450480578
1,25.091952277373736,176.5089750685516
0,42.923464717312285,189.6259195778047
1,43.70929490558462,180.0890683988662
1,41.718818033506075,178.64139209407335
1,35.4548691094671,175.12874177898263
1,37.59102440944216,171.2590729838964
1,27.762650659272374,173.73212093654683
1,29.78252921303904,171.29101179625633
1,32.90036289631241,172.1276466872935
0,27.522697272754378,175.7403435477134
0,41.5692897010734,184.33442010331783
0,22.0059266123205,173.0209214198931
0,26.756770644157655,172.30851634753728
0,24.904565504215995,176.14820945351173
1,38.13747700717184,172.27760788703324
1,25.948493906770253,173.4725078781344
1,39.353155872065294,177.74962732813424
1,44.41287147787657,175.06109636256656
0,35.2018285539123,177.78526430776736
0,39.121065357536274,181.75351275958607
1,29.767121919860628,170.99434859287086
1,39.02913592662053,172.5169570562097
0,24.823046221372827,175.96858037888006
0,34.38583077041074,176.4745012374214
1,24.237444994564683,176.81223074807255
0,32.86945951803051,176.31668750108705
0,43.700503960155764,188.54893250523577
1,40.604542363321656,175.0952626637709
0,31.4579238828768,175.01566988091096
0,28.691840272897117,174.8337479166582
0,28.145794321804498,177.09705517144099
0,29.02864788301286,177.04358194608827
