pair_id,treatment,xName_y0,xName_y1,yName_y0,yName_y1
1,0,0,1,3.4090740009035785,1.7227789273430505
2,1,0,1,3.0168173727178678,2.1131193597244273
3,0,0,1,3.224736167412366,2.322168994206197
4,1,0,1,3.0313443716511905,2.563425951365554
5,0,0,1,3.2810105378223344,1.982917454774935
6,1,0,1,3.512859901373106,1.8438665439199533
7,0,0,1,2.8224864660785944,1.2916122419396623
8,1,0,1,2.7311600208729025,2.1343176545383673
9,0,0,1,3.040127173351634,1.5358637168361204
10,1,0,1,3.496984721574625,0.7967338947880178
