q_250,q_975,x_mean,age
173.01403860673187,176.60317475775125,174.80860668224156,27.824683627000148
171.96369689385855,175.3234385502631,173.64356772206082,36.47879347717394
174.84726771437875,179.753984345739,177.30062603005888,47.70276264967059
173.73556334944345,177.97218719753658,175.85387527349002,25.956994606029717
172.30447043876865,174.90880410879095,173.6066372737798,34.357985947592084
171.92713330915612,174.75019185697587,173.338662583066,36.059362275048755
172.68024134143016,175.9092643827436,174.29475286208688,40.66363783417387
172.07233961935313,174.4699777002626,173.27115865980787,33.08241580662528
178.97866273110074,183.60193527976358,181.29029900543216,50.87579149322342
172.1081539151247,175.5273200458516,173.81773698048815,33.88970390304268
172.77071478792408,177.21381229290637,174.99226354041522,38.34120600634044
171.77576710854868,175.84021002076713,173.8079885646579,42.85402221970929
172.0092311795066,174.36245887381003,173.1858450266583,31.858437155969497
173.57718962178367,177.23277315033337,175.40498138605852,26.68264818440869
176.83897136369586,182.6834747039823,179.7612230338391,49.2578316824686
177.47277004727945,183.29611521977844,180.38444263352895,18
173.6725344678751,177.60925684949774,175.64089565868642,42.02883664737011
172.0089031777213,174.88593069649423,173.44741693710776,35.28645374412181
172.90318908852365,176.72045622022975,174.8118226543767,43.10262953701666
172.77071478792402,177.21381229290637,174.9922635404152,38.458121236316934
180.09273008280584,185.37363485225464,182.73318246753024,51.72655364199316
173.74841803169608,178.0082587230911,175.8783383773936,25.40059344284903
174.84726771437875,179.753984345739,177.30062603005888,47.717105602320565
178.9786627311007,183.6019352797636,181.29029900543216,50.63721313778603
171.95050616845822,174.84614907220868,173.39832762033345,35.03950221462514
177.47277004727945,183.29611521977844,180.38444263352895,18
171.92959674562388,175.34351452866986,173.63655563714687,38.81789842090893
172.52735810976097,175.3262898775321,173.92682399364654,30.227534650948773
173.19783846144836,176.1675422289895,174.68269034521893,41.33762616239719
171.10359174182187,175.0118484240165,173.0577200829192,37.31709368141878
172.76814526057163,175.69292941269336,174.2305373366325,40.911508830097
172.1671943776806,175.76335638500225,173.96527538134143,37.55168320878119
172.67821003725035,177.34571499966225,175.0119625184563,43.60931483049604
172.09083281593828,174.3756711461887,173.2332519810635,32.72673823609403
173.53053255971693,176.795043040463,175.16278780008997,28.78659780816194
172.52735810976097,175.3262898775321,173.92682399364654,30.23471601046579
176.5899002405184,181.0121305188317,178.80101537967505,21.192161766831738
173.01403860673187,176.60317475775125,174.80860668224156,27.779324161890496
172.29268457688883,175.351351585525,173.82201808120692,30.527504680796273
172.07233961935313,174.4699777002626,173.27115865980787,33.02789946133188
172.10554832437865,174.2922535362625,173.19890093032058,31.93131017254845
176.08214507516107,181.5370797341974,178.80961240467923,19.32717459866297
173.6717907099352,176.715615345491,175.1937030277131,28.266359518915134
177.43991794663702,183.48153057804637,180.4607242623417,50.22837973878115
172.4534955955926,176.1914591899821,174.32247739278736,39.9799514409659
178.97866273110074,183.60193527976358,181.29029900543216,50.92736348464251
172.08356697442073,174.24578725639194,173.16467711540633,32.55613020126837
172.30447043876865,174.90880410879095,173.6066372737798,34.27324611839393
171.66316376700945,174.5121116140449,173.08763769052717,33.526708387589906
173.74841803169608,178.0082587230911,175.8783383773936,25.409857877540702
173.6717907099352,176.715615345491,175.1937030277131,28.29370281918365
180.03152688997196,185.0545184995967,182.54302269478433,51.5304108458499
172.29268457688883,175.351351585525,173.82201808120692,30.502023573260047
173.62702946323486,178.4758685324084,176.05144899782164,45.205724094807366
173.57718962178367,177.23277315033337,175.40498138605852,26.619418984040152
176.08214507516107,181.5370797341974,178.80961240467923,19.272974068421398
172.08356697442073,174.24578725639194,173.16467711540633,32.41623124992022
172.17492847583947,176.5120705678716,174.34349952185553,42.48690021446907
172.831222040097,177.23369813929665,175.03246008969683,44.113838421872664
175.33544329772923,180.36704075511494,177.85124202642209,48.37295013860796
176.29525969538318,181.85898788940395,179.07712379239356,20.694062345881164
